DateStart;DateTimeStart;SUM_of_IsDP
01JUN2026;01JUN2026:10:29:34.089000;1
01JUN2026;01JUN2026:10:29:38.283000;1
01JUN2026;01JUN2026:10:30:05.497000;1
01JUN2026;01JUN2026:10:30:08.926000;1
01JUN2026;01JUN2026:10:34:51.836000;1
01JUN2026;01JUN2026:10:35:28.173000;1
01JUN2026;01JUN2026:10:35:35.531000;1
01JUN2026;01JUN2026:10:35:42.473000;1
01JUN2026;01JUN2026:10:36:09.250000;1
01JUN2026;01JUN2026:10:36:12.101000;1
01JUN2026;01JUN2026:10:36:32.751000;1
01JUN2026;01JUN2026:10:38:25.518000;1
01JUN2026;01JUN2026:10:39:22.604000;1
01JUN2026;01JUN2026:10:39:40.568000;1
01JUN2026;01JUN2026:10:39:48.833000;1
01JUN2026;01JUN2026:10:39:49.002000;1
01JUN2026;01JUN2026:10:39:49.426000;1
01JUN2026;01JUN2026:10:40:08.112000;1
01JUN2026;01JUN2026:10:40:08.651000;1
01JUN2026;01JUN2026:10:42:19.365000;1
01JUN2026;01JUN2026:10:42:57.365000;1
01JUN2026;01JUN2026:10:43:24.975000;1
01JUN2026;01JUN2026:10:44:00.785000;1
01JUN2026;01JUN2026:10:44:17.083000;1
01JUN2026;01JUN2026:10:44:43.876000;1
01JUN2026;01JUN2026:10:45:09.951000;1
01JUN2026;01JUN2026:10:45:24.691000;1
01JUN2026;01JUN2026:10:45:47.288000;1
01JUN2026;01JUN2026:10:46:25.868000;1
01JUN2026;01JUN2026:10:46:36.374000;1
01JUN2026;01JUN2026:10:46:41.558000;1
01JUN2026;01JUN2026:10:46:45.183000;1
01JUN2026;01JUN2026:10:46:58.612000;1
01JUN2026;01JUN2026:10:47:20.911000;1
01JUN2026;01JUN2026:10:47:31.952000;1
01JUN2026;01JUN2026:10:48:31.631000;1
01JUN2026;01JUN2026:10:49:10.242000;1
01JUN2026;01JUN2026:10:49:29.026000;1
01JUN2026;01JUN2026:10:50:23.576000;1
01JUN2026;01JUN2026:10:51:39.209000;1
